Order date;Catalog channel name;Catalog name;Catalog siteId;Order number;Order SKU;Histo SKU price;Order price;Difference price;Status price
11/11/2024;2KINGS;2KINGS_FR;11246;673190;EVO3700527304588;19,4;19,4;0;ISO
11/11/2024;2KINGS;2KINGS_FR;11246;673270;BOS4242002678139;29,03;29,03;0;ISO
11/11/2024;2KINGS;2KINGS_FR;11246;673300;BOS4059952570174;107,19;107,19;0;ISO
11/11/2024;2KINGS;2KINGS_FR;11246;673246;4,02063E+12;47,11;47,11;0;ISO
11/11/2024;2KINGS;2KINGS_FR;11246;673056;SHA4974019744353;81,77;81,77;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;672912;SHA4974019744353;81,77;81,77;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;672818;IME8007403166311;120,94;120,94;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;672848;FAL3016200204138;64,05;64,05;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;673007;CLE8005125527564;26,79;26,79;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;672968;STAJS674013;18,74;18,74;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;672861;LEXRP500SP;36,19;36,19;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;673013;LEXRL800D;24,84;24,84;0;ISO
10/11/2024;2KINGS;2KINGS_FR;11246;672821;MIC8020119074893;36;36;0;ISO
09/11/2024;2KINGS;2KINGS_FR;11246;672776;VT80181565;39,97;39,97;0;ISO
09/11/2024;2KINGS;2KINGS_FR;11246;672781;BAB3030050153347;27,17;27,17;0;ISO
09/11/2024;2KINGS;2KINGS_FR;11246;672732;KENWOODMG510;108,4;108,4;0;ISO
09/11/2024;2KINGS;2KINGS_FR;11246;672787;RUS4008496819294;74,29;74,29;0;ISO
09/11/2024;2KINGS;2KINGS_FR;11246;672745;13731GANT;54,71;54,71;0;ISO
08/11/2024;2KINGS;2KINGS_FR;11246;672073;2K4U9B629;61,95;61,95;0;ISO
08/11/2024;2KINGS;2KINGS_FR;11246;672618;13731GANT;54,71;54,71;0;ISO
08/11/2024;2KINGS;2KINGS_FR;11246;672622;13731GANT;54,71;54,71;0;ISO
08/11/2024;2KINGS;2KINGS_FR;11246;672446;3,30722E+12;19,9;19,9;0;ISO
08/11/2024;2KINGS;2KINGS_FR;11246;672554;AUC4053423231717;113,6;113,6;0;ISO
08/11/2024;2KINGS;2KINGS_FR;11246;672487;LEXRL800D;24,84;24,84;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672397;MATHNF10;26,22;26,22;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672399;BAM3159059052434;55,13;55,13;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672297;VT80196305;23,72;23,72;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672327;BAB3030050153385;57,82;57,82;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672321;ARI8003705120686;73,9;73,9;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672290;LEXRL800D;24,84;24,84;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672324;LEXRL800D;24,84;24,84;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672298;DIS31443;18,08;18,08;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672276;13731GANT;54,71;54,71;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672425;SC19216CPE;28,42;28,42;0;ISO
07/11/2024;2KINGS;2KINGS_FR;11246;672275;FAR3431541012110;93,39;93,39;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;671964;GRO4005176572562;192;192;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;672184;BLA5035048709856;82,78;82,78;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;671973;13731GANT;54,71;54,71;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;671945;REMS9500;43,06;43,06;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;672141;5,05664E+12;39,32;39,32;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;672181;DELONKG79;46,49;46,49;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;671926;DRE6973734683808;159,6;159,6;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;672130;LEG10875;90,5;90,5;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;672147;BAB3030050153392;52,85;52,85;0;ISO
06/11/2024;2KINGS;2KINGS_FR;11246;672150;PAN5025232621538;24,47;24,47;0;ISO
05/11/2024;2KINGS;2KINGS_FR;11246;671857;LO3474637188221;302,84;302,84;0;ISO
05/11/2024;2KINGS;2KINGS_FR;11246;671814;APP190199098572;105,32;105,32;0;ISO
05/11/2024;2KINGS;2KINGS_FR;11246;671868;STA3496278620359;25,79;25,79;0;ISO
05/11/2024;2KINGS;2KINGS_FR;11246;671758;BRA4210201151562;62,04;62,04;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8355179201-A;FAG3508510207584;70,01;70,01;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8355362501-A;FAG3508510207584;70,01;70,01;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120671934_324793-A;CEMO25GE2;119,49;119,49;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;408-1836272-3671506;ZMAGCA1269930;56,49;56,49;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;99TDYPFZXS3KO;CAN1702775014243;52,31;52,31;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;SQANTSRDK;CAN4549292119855;73,48;73,48;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;H3YNFUNJIOENS;BIG3499550379310;39,41;39,41;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8355680201-A;NXA6MEF005;232,43;232,43;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;H4GJYFGFGLOPY;LOG5099206093454;127,45;127,45;0;ISO
24/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120679081_333194-A;LOG5099206093454;127,45;127,45;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;305848062-A;BAB3030050175714;57,08;57,08;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;9BIA467N4WENQ;AUC4038986187121;157,36;157,36;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;304422654-A;S1704ZABX253W;522,29;522,29;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8354421401-A;SEB3045380018990;93,5;93,5;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;H4KXQWK45C2NK;C13T24384011;96,53;96,53;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120637066_283582-A;WHI8003437861468;92,6;92,6;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120648579_297294-A;CEMO25GE2;119,49;119,49;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8354194801-A;FAG3508510207584;70,01;70,01;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8354280301-A;FAG3508510207584;70,01;70,01;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8354186001-A;FAG3508510207584;70,01;70,01;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120630315_275718-A;DELECOV311BG;121,91;121,91;0;ISO
23/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8352577901-A;GEN8016361937871;191,17;191,17;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8350789701-A;GEN8016361937871;191,17;191,17;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;403-8830405-8453168;HP0194850676970;86,43;86,43;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;405-5437279-3820359;G2770HSUB1;126,84;128,5;-1,66;Trop cher
